id,difficulty,terrain,date_hidden,favorites
GCAN19D,1.5,2.5,3/16/2024,0
GCAN199,2,2.5,3/16/2024,0
GCAN0A2,1.5,1.5,3/16/2024,0
GCAN07T,1.5,1.5,3/16/2024,0
GCAN060,1.5,3,3/16/2024,0
GCAN037,3.5,1.5,3/16/2024,0
GCAN021,2,2,3/16/2024,0
GCAN01T,2,2,3/16/2024,2
GCAN01C,2.5,1.5,3/16/2024,0
GCAMZH3,1.5,1,3/16/2024,3
GCAMYQ5,1.5,2,3/16/2024,0
GCAMQGG,3.5,2.5,3/16/2024,1
GCA3GQH,1,1,3/14/2024,0
GCAK0TD,1,1,3/14/2024,0
GCAN2H6,1.5,1.5,3/14/2024,0
GCAMXMZ,2,1.5,3/14/2024,1
GCAMXMV,1,1.5,3/14/2024,0
GCAMXMD,2.5,2,3/14/2024,0
GCAMXKZ,1.5,1.5,3/14/2024,0
GCAMXKV,1.5,1.5,3/14/2024,0
GCAMXKH,1.5,2,3/14/2024,0
GCAMXJM,1.5,1.5,3/14/2024,0
GCAMXHP,2,1.5,3/14/2024,1
GCAMXBB,2,1.5,3/14/2024,0
GCAMX6J,2,2,3/14/2024,0
GCAMX66,2,1.5,3/14/2024,0
GCAMX5Q,2,2,3/14/2024,0
GCAMX58,2,2,3/14/2024,0
GCAMX4Q,2,2,3/14/2024,0
GCAMX4K,3.5,2.5,3/14/2024,0
GCAMX48,2,1.5,3/14/2024,0
GCAMX40,2,2,3/14/2024,0
GCAMX3M,2,2,3/14/2024,0
GCAMX35,2,2,3/14/2024,0
GCAMWJQ,1.5,4,3/14/2024,1
GCAMWJH,3,2,3/14/2024,0
GCAMWDG,2,2.5,3/14/2024,3
GCAMABT,1.5,1.5,3/14/2024,0
GCAJ5Z6,1,1,3/13/2024,0
GCAMXJW,2,2.5,3/13/2024,0
GCAMXJN,2,3,3/13/2024,0
GCAMXJG,2.5,2,3/13/2024,2
GCAMXJA,2.5,2,3/13/2024,1
GCAMXJ3,2,2,3/13/2024,0
GCAMWJ3,4.5,1.5,3/13/2024,0
GCAMWF9,2.5,2,3/13/2024,0
GCAMWF4,2,2,3/13/2024,0
GCAMWEH,1.5,2,3/13/2024,1
GCAMWBV,2.5,1.5,3/13/2024,0
GCAMVX5,1,1,3/13/2024,0
GCAMVKM,2.5,1.5,3/13/2024,2
GCAMTJ3,1.5,1.5,3/13/2024,3
GCAMJ1W,1.5,1.5,3/13/2024,2
GCAJFFV,1,1,3/13/2024,2
GCAM4CA,1,1.5,3/12/2024,0
GCAMV6J,2,1.5,3/12/2024,0
GCAMV6G,2,1.5,3/12/2024,0
GCAMV6C,2,1.5,3/12/2024,0
GCAMV6B,2,1.5,3/12/2024,0
GCAMV64,2,1.5,3/12/2024,0
GCAMV61,2,1.5,3/12/2024,0
GCAMV4W,1.5,1.5,3/12/2024,0
GCAMV3Y,2,2,3/12/2024,0
GCAMV1F,2,1.5,3/12/2024,0
GCAMTYZ,3,3,3/12/2024,1
GCAMTNR,2.5,1.5,3/12/2024,0
GCAMTJK,1,1,3/12/2024,4
GCAMTEM,3.5,2.5,3/12/2024,3
GCAMRWK,1.5,1.5,3/12/2024,0
GCAMRW2,1.5,1.5,3/12/2024,0
GCAMRV5,1,1.5,3/12/2024,0
GCAMAEJ,2.5,1.5,3/12/2024,3
GCAM5Y8,1.5,1.5,3/12/2024,0
GCAMT2Q,1.5,1.5,3/11/2024,0
GCAMT1Z,1.5,1.5,3/11/2024,1
GCAMRYP,2,2,3/11/2024,0
GCAMRTM,1,1,3/11/2024,2
GCAMRT9,2,2.5,3/11/2024,5
GCAMRT1,2,2,3/11/2024,0
GCAMRKP,1.5,2,3/11/2024,0
GCAMRKA,1.5,2,3/11/2024,0
GCAMRJT,1.5,2,3/11/2024,0
GCAMR5X,2,2.5,3/11/2024,0
GCAJHK9,1.5,1,3/11/2024,2
GCAJFQ2,1.5,2,3/11/2024,5
GCAF2R2,2.5,1,3/11/2024,2
GCAMR00,1.5,2.5,3/10/2024,0
GCAMQZW,2,3,3/10/2024,0
GCAMQZF,1.5,3,3/10/2024,0
GCAMQPD,2.5,3,3/10/2024,0
GCAMQNV,2.5,3.5,3/10/2024,1
GCAMQMY,1.5,1.5,3/10/2024,0
GCAMQMX,2,2,3/10/2024,0
GCAMQMT,1,1.5,3/10/2024,2
GCAMQM0,2,2,3/10/2024,0
GCAMQKC,2,3,3/10/2024,0
GCAMQGN,1,2,3/10/2024,0
GCAMQFX,1.5,1,3/10/2024,1
GCAMQFW,1.5,1.5,3/10/2024,0
GCAMQEJ,2,2,3/10/2024,0
GCAMQCM,2.5,1.5,3/10/2024,0
GCAMQ5M,1.5,1.5,3/10/2024,4
GCAMQ5H,2,1.5,3/10/2024,0
GCAMQ5C,2,2,3/10/2024,0
GCAMQ4E,2,1.5,3/10/2024,0
GCAMQ3N,2.5,2,3/10/2024,0
GCAMQ33,2,1.5,3/10/2024,0
GCAMQ0A,3,2,3/10/2024,2
GCAMPWE,1.5,1,3/10/2024,0
GCAMP34,2.5,3,3/10/2024,3
GCAMNPT,1.5,1.5,3/10/2024,10
GCAMNBM,1.5,1.5,3/10/2024,0
GCAMK24,3,2,3/10/2024,3
GCAMJ44,1.5,1.5,3/10/2024,8
GCAMHRX,1.5,1.5,3/10/2024,2
GCAMB12,4,5,3/10/2024,4
GCAM1C7,1,2.5,3/9/2024,0
GCAMQJ5,1,3.5,3/9/2024,0
GCAMNW9,1.5,1.5,3/9/2024,0
GCAMNW6,2.5,1.5,3/9/2024,0
GCAMNTF,2.5,2,3/9/2024,0
GCAMNRE,1.5,1.5,3/9/2024,2
GCAMNRD,1.5,1.5,3/9/2024,1
GCAMNQ3,2,1.5,3/9/2024,2
GCAMNPQ,2,2,3/9/2024,2
GCAMNNE,1.5,1.5,3/9/2024,0
GCAMNN6,2,3,3/9/2024,1
GCAMNMW,1.5,1.5,3/9/2024,1
GCAMNMP,2.5,2.5,3/9/2024,2
GCAMNMB,2,1.5,3/9/2024,0
GCAMNK5,3,2,3/9/2024,1
GCAMNH6,1.5,2,3/9/2024,0
GCAMNH5,3,2,3/9/2024,0
GCAMNGQ,3.5,2,3/9/2024,0
