id,difficulty,terrain,date_hidden,favorites
GCAH54C,1.5,1.5,12/6/2023,0
GCAH544,1.5,1.5,12/6/2023,4
GCAH4FH,3,2,12/5/2023,4
GCAH4D5,2,3.5,12/5/2023,1
GCAH4C2,1.5,1.5,12/5/2023,0
GCAH4BV,2.5,1,12/5/2023,12
GCAH4B4,2.5,1.5,12/5/2023,0
GCAH3N9,3,1,12/4/2023,7
GCAH276,2.5,1.5,12/3/2023,9
GCAH1KG,2,1.5,12/1/2023,0
GCAH0C7,2,1,12/1/2023,1
GCAH02R,2.5,2.5,11/30/2023,1
GCAGYA5,1.5,1.5,11/28/2023,0
GCAGTRG,2,2,11/25/2023,2
GCAGTY0,2,2,11/24/2023,2
GCAGQCX,2.5,1.5,11/23/2023,7
GCAGPJ8,1.5,1,11/22/2023,5
GCAGHF1,1.5,1,11/22/2023,7
GCAGP0H,1.5,3,11/21/2023,1
GCAGN2Z,3,2,11/20/2023,3
GCAGN21,2.5,1.5,11/20/2023,0
GCAGN1X,2.5,1.5,11/20/2023,1
GCAGN1V,2.5,2,11/20/2023,1
GCAGMV9,3,1.5,11/20/2023,1
GCAGMV3,3.5,2,11/20/2023,1
GCAGMTQ,3,1.5,11/20/2023,1
GCAGN74,2,1.5,11/19/2023,0
GCAGKXP,1.5,1.5,11/19/2023,0
GCAGJXH,3,2,11/19/2023,14
GCAGJ2D,1.5,1.5,11/19/2023,0
GCAGF3Z,1,3.5,11/19/2023,3
GCAGHN7,1.5,1.5,11/18/2023,1
GCAGHKW,3,1.5,11/18/2023,8
GCAGHFN,4,1.5,11/18/2023,3
GCAGF3W,1,2,11/18/2023,2
GCAE35T,2.5,3,11/18/2023,1
GCAGH28,1.5,1.5,11/17/2023,2
GCAGF3X,1,2.5,11/17/2023,3
GCAGF3V,1,4,11/16/2023,1
GCAGF3Y,2,4,11/15/2023,1
GCAGF03,2,1.5,11/15/2023,0
GCAGEMX,1,2,11/15/2023,0
GCAFVKH,3.5,1.5,11/15/2023,6
GCAGF3R,1,3,11/14/2023,1
GCAGE3J,1.5,1.5,11/14/2023,1
GCAGE0V,2.5,2,11/14/2023,1
GCAGD96,2,3.5,11/13/2023,1
GCAGD78,3,2,11/13/2023,10
GCAGD4P,1.5,1.5,11/13/2023,0
GCAGCR4,1,1.5,11/13/2023,3
GCA4YYJ,2,1.5,11/13/2023,2
GCAGC2F,1.5,1.5,11/12/2023,0
GCAGBNA,2,1.5,11/12/2023,0
GCAGAP5,1.5,2.5,11/11/2023,11
GCAG5JX,2.5,1.5,11/11/2023,7
GCAG9MY,2,1.5,11/10/2023,4
GCAG9MC,1.5,1,11/10/2023,1
GCAJQ05,3,1,11/9/2023,0
GCAG8TB,4.5,2,11/9/2023,3
GCAG8H0,4,2,11/9/2023,1
GCAG7MC,1.5,1.5,11/8/2023,0
GCAG1CG,1.5,2,11/8/2023,6
GCAG5YM,2,1.5,11/6/2023,8
GCAG5R3,1.5,1.5,11/6/2023,0
GCAG4T6,1,1,11/5/2023,0
GCAG4CT,2.5,1.5,11/5/2023,0
GCAG4BQ,1.5,1.5,11/5/2023,0
GCAG4B6,1.5,1,11/5/2023,0
GCAGN6B,2,1.5,11/4/2023,3
GCAG3D2,1.5,1.5,11/4/2023,1
GCAG39K,1.5,1.5,11/4/2023,0
GCAG387,1,1.5,11/4/2023,3
GCAG2DZ,2,1.5,11/3/2023,0
GCAG2B5,3,3,11/3/2023,1
GCAG2AZ,2,2,11/3/2023,0
GCAG2AX,2,1.5,11/3/2023,0
GCAG2AV,2,2,11/3/2023,0
GCAG2AR,2.5,2,11/3/2023,1
GCAG2AP,2,2,11/3/2023,1
GCAG2AJ,2,2,11/3/2023,0
GCAG6YF,2,2,11/2/2023,1
GCAG1WT,1,1.5,11/2/2023,0
GCAG1HK,3,2,11/2/2023,1
GCAG1F4,2,4,11/2/2023,0
GCAG1F3,2.5,4,11/2/2023,0
GCAG1EZ,4,4,11/2/2023,1
GCAG1EV,2.5,4,11/2/2023,0
GCAG1ET,2,4,11/2/2023,0
GCAG1EK,2,4,11/2/2023,0
GCAG1EE,3.5,4.5,11/2/2023,1
GCAG1E6,1,3.5,11/2/2023,0
GCAG1E5,2,3,11/2/2023,0
GCAG1E2,2,3,11/2/2023,0
GCAG1E0,2,3,11/2/2023,0
GCAG1DD,1.5,2.5,11/2/2023,0
GCAG0GG,3,1,11/1/2023,5
GCAFZEF,1.5,2,11/1/2023,3
GCAFW1C,1.5,2.5,11/1/2023,2
GCAFYKD,2,1,10/31/2023,0
GCAFYJB,2,1,10/30/2023,2
GCAFYGC,1.5,3,10/30/2023,6
GCAFYEH,3,1.5,10/30/2023,2
GCAFZVC,1.5,1.5,10/29/2023,1
GCAFXDM,3,1.5,10/29/2023,1
GCAFX9W,1.5,1,10/29/2023,5
GCAFW49,2,2,10/29/2023,4
GCAFVZJ,4.5,2.5,10/28/2023,1
GCAFV55,2,1.5,10/27/2023,0
GCAGC81,2,2,10/23/2023,0
GCAGC7Y,2,2,10/23/2023,0
GCAGC7K,2,2,10/23/2023,0
GCAGC7G,2,2,10/23/2023,0
GCAGC7E,2,2,10/23/2023,0
GCAGC7B,2,2,10/23/2023,0
GCAG9QJ,2,2,10/23/2023,0
GCAFXD4,2,2,10/23/2023,0
GCAFXCZ,2,2,10/23/2023,0
GCAFXCV,2,2,10/23/2023,0
GCAFXCP,2,2,10/23/2023,0
GCAFXCJ,2,2,10/23/2023,0
GCAFVYF,2,2,10/23/2023,0
GCAFVY9,2,2,10/23/2023,0
GCAFVY4,2,2,10/23/2023,0
GCAFVY1,2,2,10/23/2023,0
GCAFVXX,2,2,10/23/2023,0
GCAFVXB,1.5,2,10/23/2023,0
GCAFVX4,2,2,10/23/2023,0
GCAFVWX,2,2,10/23/2023,0
GCAFVWQ,2,2,10/23/2023,0
GCAFVWK,2,2,10/23/2023,0
GCAFVW6,2,2,10/23/2023,0
GCAFNK4,1.5,3,10/23/2023,0
GCAFMTC,2,2,10/22/2023,4
GCAFMP5,2,4,10/22/2023,0
GCAFMP3,2.5,4.5,10/22/2023,0
GCAFMFE,3,1,10/22/2023,2
GCAFV2J,1.5,1.5,10/21/2023,0
GCAFJH7,1.5,1,10/21/2023,5
GCAFHEG,1.5,1.5,10/20/2023,8
GCAFFY1,3,3.5,10/18/2023,6
GCAFFWB,2.5,2,10/18/2023,0
GCAFFW9,2.5,2.5,10/18/2023,0
GCAFFW7,3.5,2.5,10/18/2023,0
GCAFFW4,3.5,2.5,10/18/2023,1
GCAFFW1,3.5,2.5,10/18/2023,1
GCAFFBC,2,2,10/18/2023,0
GCAFFRH,1.5,2,10/17/2023,0
GCAFEMH,2,2.5,10/17/2023,0
GCAFED3,1.5,2,10/17/2023,0
GCAFDXQ,1.5,1,10/15/2023,0
GCAFCG8,2,1.5,10/15/2023,0
GCAFC8F,1.5,1.5,10/15/2023,0
GCAFC75,1.5,1.5,10/15/2023,0
GCAFC5F,1.5,2,10/15/2023,1
GCAFDXY,2,4,10/14/2023,0
GCAFAY0,2,2.5,10/14/2023,3
GCAFAMH,3,3,10/14/2023,0
GCAFAHW,2.5,1.5,10/14/2023,5
GCAFAH7,1,1.5,10/14/2023,0
GCAFCR4,2,2,10/13/2023,9
GCAF9HZ,1.5,4.5,10/13/2023,0
GCAF9HR,1.5,3.5,10/13/2023,2
GCAF9DQ,1.5,3,10/13/2023,1
GCAF96Q,2,1.5,10/13/2023,0
GCAFV2H,2,2,10/12/2023,0
GCAFV2E,2,2,10/12/2023,0
GCAFV2A,2,2,10/12/2023,0
GCAFV24,2,2,10/12/2023,0
GCAFV21,2,2,10/12/2023,0
GCAFV1X,2,2,10/12/2023,0
GCAFV1T,2,2,10/12/2023,0
GCAFV1M,2,2,10/12/2023,0
GCAFV1K,2,2,10/12/2023,0
GCAFV1H,2,2,10/12/2023,0
GCAFV1E,2,2,10/12/2023,0
GCAFP3E,2,2,10/12/2023,0
GCAFP3D,2,2,10/12/2023,0
GCAFP3C,2,2,10/12/2023,0
GCAFP3A,2,2,10/12/2023,0
GCAFP39,2,2,10/12/2023,0
GCAFP36,2,2,10/12/2023,0
GCAFP34,2,2,10/12/2023,0
GCAFP2K,2,2,10/12/2023,0
GCAFP2G,2,2,10/12/2023,0
GCAFP2C,2,2,10/12/2023,0
GCAFP20,2,2,10/12/2023,0
GCAFP1N,2,2,10/12/2023,0
GCAFP19,2,2,10/12/2023,0
GCAFP0F,2,2,10/12/2023,0
GCAFP04,2,2,10/12/2023,0
GCAFNZZ,2,2,10/12/2023,0
GCAFNZR,2,2,10/12/2023,0
GCAFNZJ,2,2,10/12/2023,0
GCAFNZG,2,2,10/12/2023,0
GCAFNZ6,2,2,10/12/2023,0
GCAFNZ0,2,2,10/12/2023,0
GCAFNYN,2,2,10/12/2023,0
GCAFNYE,2,2,10/12/2023,0
GCAFNY7,2,2,10/12/2023,0
GCAFNY0,2,2,10/12/2023,0
GCAFMV1,2,2,10/12/2023,0
GCAFMTW,2,2,10/12/2023,0
GCAFMTQ,2,2,10/12/2023,0
GCAFMTM,2,2,10/12/2023,0
GCAFMTJ,2,2,10/12/2023,0
GCAFMKC,2,1.5,10/12/2023,0
GCAFMK7,2,2,10/12/2023,0
GCAFMK0,2,2,10/12/2023,0
GCAFMJN,2,2,10/12/2023,0
GCAFMJ9,2,2,10/12/2023,0
GCAFMJ1,2,2,10/12/2023,0
GCAFMHE,2,2,10/12/2023,0
GCAFMH6,2,2,10/12/2023,0
GCAFMGV,2,2,10/12/2023,0
GCAFMGD,2,2,10/12/2023,0
GCAFMG7,2,1.5,10/12/2023,0
GCAF8BF,2,2,10/12/2023,2
GCAF87V,2.5,1.5,10/12/2023,6
GCAF82P,1,2,10/12/2023,0
GCAF66E,1,1.5,10/10/2023,8
GCAF5MY,2,2.5,10/10/2023,4
GCAF57W,3.5,2.5,10/9/2023,1
GCAF51W,2,2.5,10/9/2023,2
GCAF51G,1.5,1,10/9/2023,0
GCAF41C,2,2,10/8/2023,3
GCAF413,1,1.5,10/8/2023,0
GCAF40Q,1.5,4,10/8/2023,0
GCAF3JE,2,2.5,10/8/2023,9
GCAF3DD,1.5,1.5,10/8/2023,0
GCAF2RT,1.5,1.5,10/7/2023,2
GCAF2QE,2,2.5,10/7/2023,0
GCAF16C,1.5,1.5,10/6/2023,1
GCAFV0P,2,2,10/5/2023,0
GCAFV06,2,2,10/5/2023,0
GCAFTZZ,2,2,10/5/2023,0
GCAFTZW,2,2,10/5/2023,0
GCAFTZR,2,2,10/5/2023,0
GCAFTZN,2,2,10/5/2023,0
GCAFR2N,2,2,10/5/2023,0
GCAFQ6K,2,2,10/5/2023,0
GCAFQ6F,2,2,10/5/2023,0
GCAFQ6C,2,2,10/5/2023,0
GCAFQ6A,2,2,10/5/2023,0
GCAFQ67,2,2,10/5/2023,0
GCAFQ63,2,2,10/5/2023,0
GCAFQ61,2,2,10/5/2023,0
GCAFQ5Z,2,2,10/5/2023,0
GCAFQ5V,2,2,10/5/2023,0
GCAFQ5H,2,2,10/5/2023,0
GCAFP33,2,2,10/5/2023,0
GCAFMH0,2,2,10/5/2023,0
GCAFK4W,2,2,10/5/2023,0
GCAFK4V,2,2,10/5/2023,0
GCAFK4Q,2,2,10/5/2023,0
GCAFK4J,2,2,10/5/2023,0
GCAFK4E,2,2,10/5/2023,0
GCAFK4D,2,2,10/5/2023,0
GCAFK4B,2,2,10/5/2023,0
GCAFK47,2,2,10/5/2023,0
GCAFK41,2,2,10/5/2023,0
GCAFK3Z,2,2,10/5/2023,0
GCAFK3R,2,2,10/5/2023,0
GCAFK3K,2,2,10/5/2023,0
GCAFK3G,2,2,10/5/2023,0
GCAFK3B,2,2,10/5/2023,0
GCAFK38,2,2,10/5/2023,0
GCAFK34,2,2,10/5/2023,0
GCAFK30,2,2,10/5/2023,0
GCAFK2T,2,2,10/5/2023,0
GCAFK2P,2,2,10/5/2023,0
GCAFK2K,2,2,10/5/2023,0
GCAFK2C,2,2,10/5/2023,0
GCAFK21,2,2,10/5/2023,0
